Amazon.com Node,Amazon.in Node,Category Name
10981311,1375406031,Car Audio & Video Installation Products
15736141,1389261031,Antitheft Keyless Entry Systems
7243366011,2805326031,Luxury Fragrance Collection Candles & Home Scents
760796,1388960031,TV Mounts
1292107011,1375372031,Internal Optical Drives
7072321011,1968401031,Women's Sunglasses & Eyewear Accessories
6127767011,1983579031,Women's Outdoor Shoes
12740653011,1350388031,Top Casual Styles
5811986011,5257480031,Vehicle GPS Tracking and Monitoring Modules
284822,1375354031,Computer Graphics Cards
7437332011,1374307031,Luxury Hair & Scalp Treatments
7243404011,1374471031,Luxury Nail Polishs & Nail Decorations
7072322011,1968402031,Women's Gloves & Mittens
3411111,3404985031,Golf Range Finders
10048708011,,Smart Glasses
679416011,1983631031,Women's Pumps
7243410011,1374407031,Luxury Body Care Products
7243420011,1374414031,Luxury Facial Skin Care Products
172500,1375384031,Computer Memory
7243384011,1374357031,Luxury Face Makeup
679425011,1983633031,Women's Sandals
12740654011,1350388031,Best of Dress Watches
11057241,1374305031,Hair Care Products
10824740011,,Gesture Control & Entertainment
3015426011,1375345031,Desktop Barebones
7175562011,1374414031,Luxury Skin Care
6358546011,1375488031,Women's Pocket Watches
166508011,1378480031,Toy Remote Control & Play Vehicles
6682399011,,Men's Grooming
219367011,3403633031,Electronics & Gadgets
10981321,1389242031,Car Audio & Video Dash Mounting Kits
7175567011,1374642031,Luxury Shaving & Hair Removal
226183,976420031,Portable CB Radios
11651037011,1983338031,Mini Bags
7243416011,1374364031,Luxury Eye Treatment Products
10048714011,1388978031,Body Mounted Video Cameras
15735161,1458194031,Antitheft Alarm Systems
679352011,3860054031,Women's Cycling Shoes
3395071,3403925031,Reflective Gear
196601011,1378175031,Baby & Toddler Toys
15735151,5257500031,Antitheft Accessories
3012291011,1375386031,Network I/O Port Cards
10967581,1388929031,TV Remote Controls
7437396011,1374451031,Luxury Makeup Bags
2474940011,1968393031,Women's Belts
7463069011,1374277031,Luxury Bath & Body Products
7243429011,1374431031,Luxury Hand & Nail Care Products
7243391011,1374438031,Luxury Lip Makeup
679353011,1983600031,Women's Golf Shoes
13158486011,1983354031,Winter Satchels
3412255011,1983578031,Women's Track & Field & Cross Country Shoes
9959132011,1984444031,Smart Sport Accessories
1264582011,1983559031,Women's Trail Running Shoes
679319011,1983572031,Men's Oxfords
7437444011,1374467031,Luxury Makeup Brushes & Tools
